thumbvalue;thumbcalib;sideofhandvalue;sideofhandcalib
4;0;4;0
48;1,4013671875;52;0,4248046875
120;1,6455078125;152;0,6689453125
208;1,8896484375;220;0,9130859375
276;2,3779296875;284;1,4013671875
372;2,8662109375;316;1,6455078125
464;4,0869140625;388;2,1337890625
532;4,8193359375;436;2,6220703125
576;5,7958984375;464;3,3544921875
616;6,7724609375;488;4,3310546875
652;7,5048828125;544;5,0634765625
664;7,9931640625;580;6,2841796875
672;8,4814453125;656;9,4580078125
680;9,2138671875;720;11,4111328125
692;9,9462890625;752;13,3642578125
704;10,6787109375;792;15,8056640625
712;11,8994140625;816;18,2470703125
720;12,6318359375;828;20,2001953125
728;13,6083984375;844;23,6181640625
732;14,3408203125;856;26,0595703125
736;15,5615234375;872;28,0126953125
744;17,7587890625;880;29,9658203125
748;19,2236328125;884;31,4306640625
756;20,9326171875;888;33,8720703125
760;22,8857421875;892;37,0458984375
764;25,0830078125;896;40,2197265625
768;26,7919921875;900;42,9052734375
776;28,9892578125;904;50,2294921875
784;33,6279296875;912;54,6240234375
788;36,3134765625;916;60,4833984375
792;40,2197265625;924;70,7373046875
796;43,6376953125;928;77,0849609375
800;47,0556640625;932;84,1650390625
808;59,2626953125;936;88,8037109375
812;65,1220703125;940;90,0244140625
816;72,6904296875;860;20,2001953125
